CantoCore ID#,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,5,6,23,24,25,26,28,30,31,32,33,34,35,36,37,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,5,6,23,24,25,26,28,30,31,32,33,34,35,36,37,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
7,2,,,,,2,2,5,4,1,2,2,2,3,2,3,3,3,2,3,2,3,2,4,1,,4,4,5,3,4,4,3,3,3,4,4,5,3,2,4,1,1,1,1,1,1,1,1,,,,,3,2,5,5,2,2,2,3,3,2,3,2,3,2,3,2,3,2,4,1,,4,4,5,3,2,3,3,3,3,3,3,5,5,4,4,1,1,1,1,1,1,1,1
8,2,,,,,2,1,4,,,,1,1,1,1,1,3,3,1,3,3,3,1,2,1,,2,2,4,4,3,4,2,3,3,3,3,5,4,2,4,1,1,1,1,1,1,1,2,,,,,3,1,5,5,2,1,2,2,1,2,1,2,3,,1,3,3,1,2,1,,4,5,3,3,2,3,3,3,3,3,3,2,4,3,3,1,1,1,1,1,1,1,1
12,4,2,3,2,1,3,2,5,5,2,2,2,2,5,3,3,1,,,,2,3,2,3,3,1,5,5,5,4,4,4,3,3,3,1,4,5,5,1,5,,,,,,,,1,,,,,1,1,5,5,2,2,2,3,6,2,2,2,3,2,1,2,3,2,3,1,,5,5,5,2,3,4,3,3,3,4,3,4,5,4,4,,,,,,,,
16,4,1,3,1,1,2,1,1,,,,1,1,1,1,3,2,,,,1,1,1,3,3,1,5,5,5,4,4,4,4,3,3,3,2,5,5,1,3,,,,,,,,4,1,3,1,1,3,1,1,,,,1,1,1,1,1,1,,,,3,1,1,3,3,1,4,5,5,5,3,4,2,3,1,3,3,3,3,1,4,,,,,,,,
18,2,,,,,1,2,5,1,1,2,2,2,5,1,2,1,,,,2,2,2,3,1,,4,4,5,4,2,4,2,3,3,2,3,5,5,2,3,,,,,,,,4,1,1,,1,3,1,5,2,3,1,2,2,6,1,1,1,,,,2,3,2,3,1,,3,4,4,5,3,4,4,3,3,3,2,4,5,3,3,,,,,,,,
25,2,,,,,3,1,5,1,1,2,2,2,3,1,3,1,,,,3,2,2,3,1,,4,5,5,3,3,4,4,3,3,4,3,5,5,3,5,,,,,,,,1,,,,,1,1,5,1,1,2,2,2,6,1,1,1,,,,3,3,1,4,1,,4,4,4,3,3,2,3,3,3,4,3,4,3,3,5,,,,,,,,
27,2,,,,,2,2,5,1,1,2,2,2,1,3,3,2,3,2,3,3,2,2,4,1,,4,4,3,3,4,4,4,2,3,3,3,5,5,2,5,,,,,,,,2,,,,,2,2,4,,,,2,2,6,2,3,2,3,2,3,3,3,1,4,1,,4,4,4,2,3,1,2,3,3,3,3,3,4,3,4,,,,,,,,
38,2,,,,,2,1,3,,,,2,1,3,2,3,2,,,,3,2,1,3,3,2,4,5,5,4,5,2,3,3,3,1,4,2,5,1,4,,,,,,,,2,,,,,1,1,5,1,2,2,2,2,4,2,3,1,,,,3,3,3,3,3,2,5,5,4,3,3,3,2,3,2,2,3,5,5,2,4,,,,,,,,
40,2,,,,,1,2,5,4,2,1,2,2,5,3,3,1,,,,2,2,2,3,3,1,2,4,3,5,5,4,3,3,3,2,4,4,1,3,5,,,,,,,,4,1,3,1,2,3,1,5,5,2,2,2,2,6,3,3,3,2,,2,3,2,1,3,3,2,3,5,4,4,4,3,3,2,2,5,2,2,1,2,4,,,,,,,,
60,2,,,,,1,1,5,1,1,2,1,1,1,1,3,2,2,2,3,1,3,3,3,3,1,4,4,3,5,4,3,4,3,3,4,3,5,4,3,3,,,,,,,,2,,,,,1,1,5,4,1,1,2,1,1,1,1,2,3,2,1,3,3,3,3,3,1,4,4,3,4,3,3,4,3,3,3,2,2,3,2,3,,,,,,,,
63,2,,,,,1,2,5,4,2,1,2,2,3,2,3,2,2,,3,2,2,1,3,3,1,3,2,2,5,4,4,4,3,3,4,4,2,3,4,5,,,,,,,,2,,,,,2,1,5,5,3,2,2,3,6,2,3,1,,,,2,3,3,3,1,,3,3,5,4,2,3,2,3,3,5,3,3,4,3,4,,,,,,,,
71,2,,,,,2,2,5,5,2,1,2,2,5,2,3,2,,,,2,2,1,3,1,,4,2,4,5,4,4,4,2,3,3,3,5,5,2,2,,,,,,,,4,1,3,1,2,3,2,5,5,2,2,2,3,6,2,3,1,,,,2,3,3,3,1,,5,5,4,3,2,4,4,2,3,3,3,5,5,4,3,,,,,,,,
78,4,1,3,1,1,2,1,5,5,2,2,2,1,4,2,2,2,,2,,2,1,1,3,3,1,3,4,4,4,3,4,4,3,3,4,3,2,5,2,4,,,,,,,,4,1,3,2,1,3,2,5,5,2,2,2,2,3,2,1,3,3,2,3,2,1,1,3,3,1,5,5,5,3,3,3,3,3,3,2,3,5,5,4,3,,,,,,,,
80,2,,,,,1,1,5,4,2,2,2,3,1,1,3,1,,,,1,2,2,3,1,,3,2,5,1,1,4,4,2,3,3,4,5,5,2,5,,,,,,,,1,,,,,1,1,2,,,,1,1,1,1,3,2,1,2,3,1,3,3,3,2,3,3,3,5,1,1,1,3,3,3,4,3,5,5,4,5,,,,,,,,
83,4,1,3,1,1,2,1,5,5,2,2,2,1,6,2,1,2,3,2,3,3,3,1,3,3,1,4,5,5,3,4,4,4,3,3,3,3,4,4,2,2,,,,,,,,4,1,3,2,1,3,2,5,5,2,2,2,2,6,2,1,3,3,2,3,2,3,1,3,1,,4,5,5,4,3,4,3,3,3,4,3,4,5,3,3,,,,,,,,
96,4,1,3,1,3,2,2,5,1,2,2,2,2,5,2,3,1,,,,2,2,1,3,3,1,4,5,5,5,4,4,3,2,3,3,3,4,2,1,5,,,,,,,,4,1,3,1,2,3,1,5,4,2,2,2,2,6,1,3,1,,,,2,2,2,3,3,2,5,5,5,3,4,4,3,3,3,2,3,4,5,2,4,,,,,,,,
106,2,,,,,1,1,5,4,3,1,2,2,6,2,2,2,3,1,3,3,3,2,4,1,,4,4,4,3,3,3,2,1,3,4,3,5,5,2,3,,,,,,,,1,,,,,1,3,5,4,2,1,2,1,6,2,1,1,,,,3,3,1,4,1,,4,2,3,4,2,2,2,2,3,4,1,2,4,4,2,,,,,,,,
