CantoChorID#,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,5,6,23,24,25,26,28,30,31,32,33,34,35,36,37,Instrument?,"Instruments (a=aerophone,c=chordophone,i=i,m=membranophone)",Function,Ritual,Function notes,Nothing
90,d,a,c,a,1,1,0,e,b,0.5,b,0.5,1,f,0.5,1,1,b,,b,0.5,1,0.5,c,a,,1,1,1,0.8,0.5,1,1,1,1,0.375,0.666666667,0.75,1,0.25,0.75,N,,Work,Non-ritual,,
91,d,a,c,a,0.5,1,0,c,,,,0.5,1,f,0,1,1,b,,b,0.5,1,0.5,cb,a,,1,1,1,0.8,0.5,1,0.666666667,1,1,0.375,0.666666667,0.75,1,0.25,0.75,N,,Play,Non-ritual,,
92,d,a,c,a,1,1,0.5,e,b,0.5,b,0.5,1,f,0,1,1,b,,b,0.5,1,0,c,a,,1,1,1,0.6,0.75,1,0.666666667,1,1,0.375,0.666666667,0.75,1,0.25,0.75,N,,Work,Non-ritual,,
93,d,a,c,a,1,1,0.5,e,b,1,b,0.5,1,ef,0.5,1,1,b,,b,1,1,0.5,c,c,0.5,1,1,1,0.6,0.75,1,0.666666667,1,1,0.375,0.666666667,0.75,1,0.25,0.75,N,,Ceremonial,Unknown,,
94,d,a,c,a,0.5,0.5,0,e,d,0.5,b,0.5,1,f,0,1,0,,,,1,1,0,c,c,0,1,1,1,0.8,0.75,1,0.666666667,1,1,0.375,0.666666667,0.75,1,0.25,0.75,N,,Ceremonial,Healing,,
95,d,a,c,a,0.5,1,0.5,e,d,0.5,b,1,1,f,0.5,1,0,,,,0.5,1,1,c,a,,1,1,1,0.8,0.75,1,0.666666667,1,1,0.375,0.666666667,0.75,1,0.25,0.75,N,,Ceremonial,Healing,,
96,d,a,c,a,0.5,1,0,ea,d,0.5,b,0.5,0.5,fc,0,1,0,,,,0.5,0.5,0.5,c,c,0.5,1,1,1,0.4,0.75,1,0.666666667,1,1,0.375,0.666666667,0.75,1,0.25,0.75,N,,Ceremonial,Other,,
97,d,a,c,a,0.5,1,0.5,e,a,0.5,b,0.5,1,f,0,1,0,,,,1,0.5,0,cb,c,0,1,0.75,1,0.6,0.5,1,0.666666667,1,1,0.375,0.666666667,0.75,1,0.25,0.75,Y,i,"Ceremonial, Dance",Calendrical,,
98,d,a,c,a,1,1,0.5,e,d,0.5,b,0.5,1,fc,0,1,0.5,b,,b,1,0.5,0,c,c,0,1,0.75,1,0.6,0.5,1,0.666666667,1,1,0.375,0.666666667,0.75,1,0.25,0.75,Y,i,Dance,Unknown,,
99,d,a,c,a,0.5,0.5,0,e,d,0.5,b,0.5,1,f,0.5,1,1,b,,b,1,0.5,0.5,c,c,0.5,1,1,1,0.8,0.75,1,0.666666667,1,1,0.375,0.666666667,0.5,0.5,0,0.75,N,,Improvisation,Unknown,,
100,d,a,c,a,1,0.5,0.5,e,d,0.5,b,0.5,1,f,0.5,1,1,b,,b,1,1,1,c,c,0.5,0.75,1,1,0.6,0.75,1,0.666666667,1,1,0.375,0.666666667,0.75,0.5,0.25,0.75,N,,Work,Non-ritual,,
101,d,a,c,a,0.5,1,0,e,d,0.5,b,0.5,1,f,0.5,1,0.5,b,,b,1,1,0,c,c,0,1,1,1,0.8,0.75,1,0.666666667,1,1,0.375,0.666666667,0.25,0.5,0,0.75,N,,"Ceremonial, Work",Other,,
102,d,a,c,a,0.5,1,0.5,e,a,0.5,b,1,1,f,0.5,1,1,b,,b,0.5,1,0.5,db,c,0.5,0.75,1,1,0.6,0.75,1,0.666666667,1,1,0.375,0.666666667,0.75,0.5,0.25,0.75,N,,Unknown,Unknown,,
